Job_Title,Company_Employer,Location,Salary_Estimate,Skills_Required,Work_Mode
Financial Analyst,Garmin,"Topeka, KS",63578,"Python, AWS, Excel, PowerBI",On-site
Software Engineer,H&R Block,"Kansas City, MO",99420,"Excel, AWS",Remote
Business Analyst,H&R Block,"Kansas City, KS",89554,"PowerBI, Tableau, Python, SQL",Hybrid
Financial Analyst,T-Mobile,"Topeka, KS",76195,"Excel, Tableau",Remote
Software Engineer,Garmin,"Overland Park, KS",122252,"Excel, SQL, Python, PowerBI",On-site
Python Developer,H&R Block,"Olathe, KS",89900,"SQL, Python",Hybrid
Python Developer,Commerce Bank,"Kansas City, MO",80658,"Python, Excel",Remote
Data Analyst,Garmin,"Topeka, KS",81362,"Tableau, SQL",Remote
Business Analyst,H&R Block,"Overland Park, KS",66463,"SQL, Python",Hybrid
Software Engineer,Garmin,"Overland Park, KS",117475,"Python, PowerBI",Hybrid
Data Analyst,Commerce Bank,"Kansas City, MO",65486,"Tableau, SQL, PowerBI, Excel",On-site
Financial Analyst,Garmin,"Overland Park, KS",82099,"AWS, SQL, PowerBI, Tableau",Hybrid
Business Analyst,Federal Reserve Bank of KC,"Kansas City, KS",82433,"Excel, Tableau",Hybrid
Python Developer,Cerner Corporation,"Overland Park, KS",71301,"Python, SQL, AWS",Hybrid
Business Analyst,H&R Block,"Olathe, KS",66047,"SQL, PowerBI, Python",On-site
Business Analyst,Commerce Bank,"Overland Park, KS",61300,"SQL, PowerBI, Tableau, Python",Hybrid
Data Analyst,H&R Block,"Overland Park, KS",61849,"Tableau, Excel",Remote
Data Analyst,Commerce Bank,"Topeka, KS",81785,"SQL, Tableau",On-site
Financial Analyst,Garmin,"Topeka, KS",76171,"Python, SQL",On-site
Business Analyst,H&R Block,"Kansas City, KS",61418,"Tableau, Excel, Python",Remote
Python Developer,Federal Reserve Bank of KC,"Kansas City, MO",88821,"Excel, Python",On-site
Python Developer,T-Mobile,"Kansas City, MO",73432,"Python, SQL",Hybrid
Business Analyst,T-Mobile,"Olathe, KS",60408,"AWS, SQL, Tableau, Python",Remote
Business Analyst,Cerner Corporation,"Kansas City, MO",89481,"SQL, AWS",Remote
Data Analyst,H&R Block,"Kansas City, MO",83501,"PowerBI, Excel, AWS",On-site
Python Developer,Federal Reserve Bank of KC,"Kansas City, KS",82992,"Excel, AWS",Remote
Data Scientist,Cerner Corporation,"Kansas City, KS",106912,"SQL, Excel",Hybrid
Python Developer,Federal Reserve Bank of KC,"Kansas City, KS",65227,"Excel, AWS, PowerBI",Remote
Data Analyst,Garmin,"Kansas City, KS",74116,"Tableau, AWS",Hybrid
Software Engineer,Federal Reserve Bank of KC,"Kansas City, KS",95715,"Python, Tableau",On-site
Financial Analyst,Federal Reserve Bank of KC,"Overland Park, KS",92465,"Python, PowerBI, AWS",Hybrid
Python Developer,Garmin,"Olathe, KS",60527,"Python, SQL, AWS",Hybrid
Business Analyst,Cerner Corporation,"Overland Park, KS",67620,"AWS, PowerBI, Excel",Hybrid
Data Analyst,T-Mobile,"Topeka, KS",70509,"Excel, Tableau",Remote
Business Analyst,T-Mobile,"Kansas City, MO",94261,"Excel, Python, PowerBI",Remote
Software Engineer,T-Mobile,"Overland Park, KS",133847,"SQL, Python",Hybrid
Data Analyst,H&R Block,"Kansas City, KS",82785,"Python, SQL, AWS",Remote
Financial Analyst,Federal Reserve Bank of KC,"Overland Park, KS",76795,"Tableau, Excel",Hybrid
Python Developer,Cerner Corporation,"Kansas City, KS",65065,"AWS, SQL, PowerBI",On-site
Financial Analyst,H&R Block,"Kansas City, KS",82511,"AWS, PowerBI",On-site
Business Analyst,Commerce Bank,"Kansas City, KS",65852,"SQL, PowerBI",On-site
Financial Analyst,Commerce Bank,"Kansas City, MO",86472,"SQL, Tableau, Python, PowerBI",Hybrid
Data Scientist,T-Mobile,"Kansas City, KS",130782,"Python, AWS, PowerBI",Remote
Data Analyst,Garmin,"Olathe, KS",70834,"Tableau, AWS, Excel, SQL",Hybrid
Software Engineer,T-Mobile,"Topeka, KS",125850,"PowerBI, Excel, Tableau",On-site
Python Developer,H&R Block,"Kansas City, MO",64399,"Python, PowerBI, AWS, SQL",Hybrid
Data Scientist,Federal Reserve Bank of KC,"Overland Park, KS",119594,"Excel, SQL, Tableau",On-site
Software Engineer,Garmin,"Overland Park, KS",104428,"PowerBI, Excel, Python",On-site
Software Engineer,Garmin,"Topeka, KS",116909,"Python, PowerBI, Excel",On-site
Data Analyst,H&R Block,"Olathe, KS",71463,"SQL, AWS, Python, Excel",On-site
Data Analyst,Garmin,"Overland Park, KS",79352,"AWS, Excel, SQL, Python",Hybrid
Python Developer,Federal Reserve Bank of KC,"Kansas City, MO",67607,"PowerBI, SQL",Hybrid
Business Analyst,Federal Reserve Bank of KC,"Olathe, KS",94321,"SQL, PowerBI, Tableau, Python",Remote
Financial Analyst,H&R Block,"Kansas City, KS",80459,"SQL, Tableau, PowerBI",Hybrid
Python Developer,Commerce Bank,"Overland Park, KS",90483,"Tableau, SQL",Remote
Data Analyst,Federal Reserve Bank of KC,"Topeka, KS",93512,"PowerBI, Python, AWS",Hybrid
Financial Analyst,H&R Block,"Olathe, KS",91855,"Excel, Python",Hybrid
Data Analyst,Garmin,"Overland Park, KS",69245,"AWS, Excel, Python",On-site
Data Analyst,Commerce Bank,"Kansas City, MO",82608,"AWS, Tableau, Python, PowerBI",Hybrid
Software Engineer,H&R Block,"Overland Park, KS",130148,"SQL, PowerBI, Excel, Tableau",Hybrid
Data Analyst,Federal Reserve Bank of KC,"Topeka, KS",75611,"PowerBI, Tableau",Hybrid
Data Analyst,T-Mobile,"Overland Park, KS",76874,"AWS, SQL, PowerBI, Tableau",Hybrid
Data Analyst,H&R Block,"Kansas City, KS",72021,"Tableau, SQL",Hybrid
Software Engineer,Garmin,"Topeka, KS",134626,"Python, Excel",Hybrid
Data Scientist,Commerce Bank,"Topeka, KS",98608,"PowerBI, Excel, Tableau, AWS",On-site
Python Developer,Cerner Corporation,"Kansas City, MO",78149,"Python, AWS, SQL, Excel",On-site
Data Analyst,T-Mobile,"Overland Park, KS",92550,"Excel, AWS, Tableau, Python",Remote
Software Engineer,Cerner Corporation,"Kansas City, KS",131048,"SQL, Excel",Hybrid
Business Analyst,Commerce Bank,"Kansas City, MO",84173,"AWS, Excel",Hybrid
Data Scientist,T-Mobile,"Kansas City, MO",111009,"Excel, AWS",Remote
Software Engineer,Cerner Corporation,"Topeka, KS",132434,"SQL, PowerBI, Excel, Python",Remote
Data Scientist,Cerner Corporation,"Overland Park, KS",131713,"Tableau, Excel",Remote
Software Engineer,Cerner Corporation,"Topeka, KS",95762,"Excel, Tableau",On-site
Financial Analyst,H&R Block,"Kansas City, KS",82957,"PowerBI, Excel, SQL, Tableau",Remote
Python Developer,H&R Block,"Olathe, KS",91640,"Excel, Python, SQL, AWS",Hybrid
Financial Analyst,H&R Block,"Kansas City, KS",87286,"Python, SQL, PowerBI",Hybrid
Financial Analyst,Cerner Corporation,"Kansas City, MO",66192,"SQL, Excel, PowerBI, AWS",Remote
Data Scientist,Commerce Bank,"Kansas City, MO",94638,"Tableau, Excel",Remote
Data Analyst,Federal Reserve Bank of KC,"Kansas City, KS",78212,"Excel, PowerBI",Remote
Software Engineer,H&R Block,"Overland Park, KS",133915,"Tableau, Excel",On-site
Financial Analyst,H&R Block,"Overland Park, KS",71797,"Excel, SQL, Python",On-site
Business Analyst,Commerce Bank,"Kansas City, MO",90357,"SQL, Python, Excel",Hybrid
Software Engineer,Commerce Bank,"Overland Park, KS",114953,"SQL, AWS, Tableau",Hybrid
Python Developer,Garmin,"Topeka, KS",86323,"AWS, Tableau, PowerBI",Hybrid
Business Analyst,Cerner Corporation,"Olathe, KS",78838,"Tableau, PowerBI",On-site
Software Engineer,T-Mobile,"Overland Park, KS",104577,"Tableau, PowerBI, Excel, SQL",On-site
Data Scientist,Federal Reserve Bank of KC,"Kansas City, KS",131110,"Tableau, Excel, SQL, AWS",Hybrid
Software Engineer,Federal Reserve Bank of KC,"Topeka, KS",126311,"AWS, PowerBI",Hybrid
Financial Analyst,Cerner Corporation,"Overland Park, KS",62094,"SQL, PowerBI, AWS, Python",On-site
Data Analyst,Cerner Corporation,"Topeka, KS",87450,"SQL, Python, Tableau, AWS",On-site
Python Developer,Federal Reserve Bank of KC,"Olathe, KS",60384,"Python, Excel, Tableau, SQL",Hybrid
Python Developer,T-Mobile,"Kansas City, KS",66011,"Python, AWS",Remote
Data Analyst,Cerner Corporation,"Kansas City, KS",63581,"PowerBI, Excel, AWS",On-site
Data Scientist,T-Mobile,"Overland Park, KS",98511,"AWS, Excel",On-site
Financial Analyst,H&R Block,"Kansas City, KS",76774,"AWS, Tableau, SQL, Python",Remote
Data Scientist,T-Mobile,"Kansas City, KS",112448,"PowerBI, Python, Tableau, SQL",Remote
Business Analyst,Federal Reserve Bank of KC,"Topeka, KS",69179,"PowerBI, Excel, Python",Remote
Financial Analyst,H&R Block,"Topeka, KS",82770,"Excel, PowerBI, Tableau, AWS",Remote
Python Developer,Cerner Corporation,"Overland Park, KS",71592,"Tableau, Excel, Python",Remote
Data Analyst,Garmin,"Overland Park, KS",65698,"Excel, Python",Remote
Financial Analyst,T-Mobile,"Kansas City, MO",89037,"SQL, PowerBI",On-site
Python Developer,H&R Block,"Kansas City, KS",81934,"AWS, Python, SQL, Tableau",Remote
Data Analyst,Cerner Corporation,"Kansas City, MO",65673,"Python, SQL, Excel",Hybrid
Software Engineer,Federal Reserve Bank of KC,"Topeka, KS",101136,"Excel, SQL, PowerBI, Tableau",Remote
Python Developer,H&R Block,"Kansas City, KS",92937,"Python, AWS, SQL, PowerBI",Hybrid
Data Analyst,Commerce Bank,"Overland Park, KS",61510,"AWS, Excel",Hybrid
Software Engineer,H&R Block,"Overland Park, KS",111470,"Python, PowerBI, Tableau",Hybrid
Data Analyst,T-Mobile,"Kansas City, MO",87300,"PowerBI, Tableau",Remote
Data Analyst,Federal Reserve Bank of KC,"Overland Park, KS",78834,"Tableau, Python",Hybrid
Data Scientist,Commerce Bank,"Kansas City, MO",105030,"Tableau, SQL, Python",Hybrid
Business Analyst,Commerce Bank,"Overland Park, KS",64392,"SQL, Tableau",On-site
Software Engineer,Cerner Corporation,"Kansas City, KS",88240,"PowerBI, SQL, Excel",Hybrid
Financial Analyst,Cerner Corporation,"Kansas City, KS",78907,"Excel, SQL, AWS, Python",Hybrid
Software Engineer,Garmin,"Olathe, KS",120733,"PowerBI, Python, Excel",Remote
Data Analyst,Garmin,"Olathe, KS",82722,"Tableau, Python",Remote
Financial Analyst,Garmin,"Kansas City, KS",74088,"AWS, PowerBI, Python",Remote
Financial Analyst,Cerner Corporation,"Kansas City, MO",91026,"Tableau, SQL",Remote
Python Developer,Federal Reserve Bank of KC,"Olathe, KS",67236,"SQL, PowerBI",Hybrid
Business Analyst,T-Mobile,"Overland Park, KS",72980,"PowerBI, Excel, Tableau, AWS",Hybrid
Data Scientist,Cerner Corporation,"Topeka, KS",116936,"Tableau, PowerBI",Remote
Financial Analyst,H&R Block,"Kansas City, KS",61757,"Python, SQL, AWS, PowerBI",Hybrid
Data Scientist,Commerce Bank,"Olathe, KS",115081,"SQL, Tableau, Excel",Hybrid
Software Engineer,H&R Block,"Kansas City, MO",119711,"Python, Excel, PowerBI",On-site
Data Scientist,Federal Reserve Bank of KC,"Kansas City, KS",116818,"SQL, Python",Hybrid
Financial Analyst,Garmin,"Topeka, KS",66590,"Python, PowerBI, Excel, SQL",Hybrid
Software Engineer,Federal Reserve Bank of KC,"Topeka, KS",113349,"AWS, SQL, Excel",Hybrid
Software Engineer,H&R Block,"Overland Park, KS",115012,"AWS, Excel",On-site
Software Engineer,Commerce Bank,"Overland Park, KS",97101,"Python, Tableau",Remote
Software Engineer,Garmin,"Olathe, KS",118136,"Tableau, Excel, AWS",Hybrid
Data Scientist,Garmin,"Olathe, KS",87860,"Excel, SQL, AWS, PowerBI",Hybrid
Financial Analyst,Garmin,"Kansas City, MO",93265,"Tableau, Excel, PowerBI",Hybrid
Python Developer,Commerce Bank,"Topeka, KS",85723,"PowerBI, Excel, Tableau",Remote
Business Analyst,Commerce Bank,"Topeka, KS",85018,"Python, SQL, PowerBI, AWS",Remote
Data Analyst,Federal Reserve Bank of KC,"Topeka, KS",84756,"Python, SQL, PowerBI",Hybrid
Software Engineer,T-Mobile,"Kansas City, MO",115142,"Python, Excel, SQL, AWS",Remote
Data Analyst,Cerner Corporation,"Kansas City, KS",83730,"Excel, PowerBI, Tableau, SQL",Hybrid
Financial Analyst,Cerner Corporation,"Olathe, KS",88029,"Python, Excel, SQL, Tableau",On-site
Financial Analyst,Federal Reserve Bank of KC,"Kansas City, KS",85740,"Excel, Python",Hybrid
Software Engineer,H&R Block,"Topeka, KS",126581,"Tableau, Excel, Python",On-site
Data Scientist,H&R Block,"Kansas City, KS",103868,"Excel, SQL, Python",Hybrid
Data Analyst,T-Mobile,"Olathe, KS",90910,"Python, SQL, PowerBI, Tableau",Remote
Software Engineer,Cerner Corporation,"Kansas City, MO",112754,"Excel, AWS, Tableau, PowerBI",Remote
Data Scientist,Federal Reserve Bank of KC,"Kansas City, KS",123563,"PowerBI, AWS",Hybrid
Business Analyst,Cerner Corporation,"Topeka, KS",77301,"SQL, AWS, Excel, PowerBI",Remote
Python Developer,T-Mobile,"Topeka, KS",68344,"AWS, Tableau",Hybrid
Python Developer,T-Mobile,"Topeka, KS",80574,"Python, AWS, Excel, SQL",Hybrid
Data Analyst,Federal Reserve Bank of KC,"Kansas City, MO",82664,"AWS, PowerBI, SQL, Tableau",Hybrid
Software Engineer,Garmin,"Kansas City, MO",99470,"Excel, AWS, Python",On-site
Business Analyst,Federal Reserve Bank of KC,"Topeka, KS",73055,"PowerBI, Tableau, Excel, SQL",Hybrid
Financial Analyst,Commerce Bank,"Kansas City, KS",62945,"Python, AWS, SQL",Hybrid
Python Developer,T-Mobile,"Topeka, KS",72777,"SQL, Python, Tableau",Hybrid
Data Analyst,H&R Block,"Kansas City, KS",86559,"Python, AWS, SQL",Remote
Data Analyst,T-Mobile,"Kansas City, MO",66266,"SQL, AWS, Excel",Hybrid
Software Engineer,H&R Block,"Olathe, KS",114197,"Python, PowerBI, AWS, Tableau",Remote
Business Analyst,T-Mobile,"Overland Park, KS",65185,"Python, Tableau, PowerBI",Hybrid
Business Analyst,H&R Block,"Kansas City, MO",92399,"Python, PowerBI",Hybrid
Data Analyst,Commerce Bank,"Topeka, KS",86601,"PowerBI, SQL, Tableau",Remote
Software Engineer,Garmin,"Kansas City, KS",134357,"Tableau, Excel",Hybrid
Business Analyst,Federal Reserve Bank of KC,"Topeka, KS",84488,"SQL, Tableau, Python, AWS",Remote
Financial Analyst,H&R Block,"Kansas City, MO",82767,"AWS, SQL, PowerBI",Hybrid
Data Scientist,Commerce Bank,"Overland Park, KS",99082,"Python, AWS, PowerBI",On-site
Financial Analyst,Commerce Bank,"Olathe, KS",60202,"Tableau, PowerBI, SQL",On-site
Software Engineer,H&R Block,"Kansas City, MO",107071,"PowerBI, Python, SQL, Excel",Hybrid
Business Analyst,Federal Reserve Bank of KC,"Topeka, KS",67919,"Excel, Tableau, SQL, PowerBI",Hybrid
Python Developer,Federal Reserve Bank of KC,"Overland Park, KS",85297,"Python, Excel, PowerBI, SQL",Hybrid
Python Developer,H&R Block,"Overland Park, KS",62722,"AWS, PowerBI",Remote
Python Developer,Garmin,"Topeka, KS",66110,"Python, Excel",Hybrid
Data Analyst,H&R Block,"Olathe, KS",74064,"AWS, SQL, Python",Remote
Software Engineer,H&R Block,"Topeka, KS",111249,"PowerBI, Python",Remote
Data Analyst,Federal Reserve Bank of KC,"Topeka, KS",76103,"SQL, Excel, AWS",Hybrid
Data Scientist,Garmin,"Olathe, KS",97004,"Excel, AWS, SQL, Tableau",On-site
Data Analyst,Federal Reserve Bank of KC,"Olathe, KS",81923,"AWS, Excel",Hybrid
